Day,Position,Position Type,Candidate Id,Candidate Name,Experience,Language Skills,Presentation Skills
Day 1,Dept D Assistant ,Assistant ,144,Gonçalo Martins,4,3,2
Day 1,Dept D Assistant ,Assistant ,192,Leonor Pereira,3,2,2
Day 1,Dept D Assistant ,Assistant ,252,Michael Lewis,4,2,3
Day 1,Dept D Assistant ,Assistant ,256,Miguel Pereira,4,3,1
Day 1,Dept D Assistant ,Assistant ,303,Simão Fernandes,4,3,4
Day 1,Dept D Assistant ,Assistant ,306,Sofia Ribeiro,4,2,1
Day 1,Dept D Assistant ,Assistant ,313,Tiago Fernandes,4,2,4
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,14,Ana Carvalho,5,2,1
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,23,Ana Santos,4,4,4
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,24,Ana Sousa,5,2,1
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,34,Aria Wright,4,1,4
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,51,Benjamin Nelson,5,2,1
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,68,Carolina Carvalho,4,2,4
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,101,Diogo Oliveira,3,5,3
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,159,Isaac Jackson,5,3,1
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,177,José Rodrigues,5,1,4
Day 1,Dept F Viewing Assistant ,Viewing Assistant ,244,Matilde Gomes,3,2,3
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,15,Ana Costa,5,2,2
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,31,Andrew Moore,4,2,3
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,102,Diogo Pereira,4,5,3
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,224,Maria Ribeiro,5,3,0
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,245,Matilde Marques,4,1,5
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,255,Miguel Lopes,5,3,2
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,276,Rafaela Ferreira,4,2,3
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,298,Sarah Garcia,5,1,2
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,307,Sofia Santos,5,3,1
Day 1,Dept G Viewing Assistant ,Viewing Assistant ,320,Tomás Martins,4,5,2
Day 1,Dept H Assistant ,Assistant ,48,Beatriz Rodrigues,4,4,2
Day 1,Dept H Assistant ,Assistant ,96,Diana Fernandes,5,3,3
Day 1,Dept H Assistant ,Assistant ,156,Inês Martins,5,2,5
Day 1,Dept H Assistant ,Assistant ,217,Mafalda Santos,4,4,3
Day 1,Dept H Assistant ,Assistant ,234,Mariana Rocha,5,2,1
Day 1,Dept I Viewing Assistant ,Viewing Assistant ,66,Candidate Name,5,4,2
Day 1,Dept I Viewing Assistant ,Viewing Assistant ,109,Eduardo Silva,5,5,3
Day 1,Dept I Viewing Assistant ,Viewing Assistant ,195,Liam Davis,5,3,3
Day 1,Dept I Viewing Assistant ,Viewing Assistant ,196,Lídia Sousa,5,4,2
Day 1,Dept I Viewing Assistant ,Viewing Assistant ,225,Maria Silva,5,4,2
Day 1,Dept K Packing Assistant ,Packing Assistant ,46,Beatriz Ferreira,5,1,3
Day 1,Dept K Packing Assistant ,Packing Assistant ,59,Bruna Oliveira,5,4,1
Day 1,Dept K Packing Assistant ,Packing Assistant ,80,Charlotte Garcia,5,5,0
Day 1,Dept K Packing Assistant ,Packing Assistant ,126,Francisca Ferreira,5,1,3
Day 1,Dept K Packing Assistant ,Packing Assistant ,258,Nathan Price,5,4,5
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,20,Ana Paula Ferreira,4,1,3
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,39,Ava Martinez,5,2,2
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,58,Brooklyn Lee,5,5,2
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,64,Caleb Turner,5,1,4
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,107,Duarte Pinto,5,3,2
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,133,Francisco Pinto,5,4,4
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,142,Gonçalo Castro,4,1,2
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,162,Isabella Mitchell,3,4,1
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,176,José Carvalho,4,2,4
Day 1,Dept K Set Up Assistant ,Set Up Assistant ,200,Lucas Barbosa,5,3,5
Day 1,Dept L Packing Assistant ,Packing Assistant ,10,Alexandre Martins,4,1,3
Day 1,Dept L Packing Assistant ,Packing Assistant ,17,Ana Gonçalves,4,1,1
Day 1,Dept L Packing Assistant ,Packing Assistant ,72,Carolina Lourenço,5,0,5
Day 1,Dept L Packing Assistant ,Packing Assistant ,100,Diogo Cunha,5,1,4
Day 1,Dept L Packing Assistant ,Packing Assistant ,131,Francisco Ferreira,4,2,5
Day 1,Dept L Packing Assistant ,Packing Assistant ,198,Logan Davis,4,2,2
Day 1,Dept L Packing Assistant ,Packing Assistant ,238,Mariana Silva,5,5,1
Day 1,Dept L Packing Assistant ,Packing Assistant ,254,Miguel Costa,4,4,0
Day 1,Dept L Packing Assistant ,Packing Assistant ,304,Simão Rodrigues,5,4,1
Day 1,Dept L Packing Assistant ,Packing Assistant ,321,Tomás Oliveira,5,4,5
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,2,Adam Mitchell,5,1,2
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,6,Afonso Pereira,4,4,2
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,9,Alexandra Campbell,4,5,0
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,18,Ana Martins,5,0,4
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,63,Caleb Green,4,3,3
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,67,Carolina Alves,5,1,5
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,119,Eva Nelson,5,5,3
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,184,Lara Costa,5,1,4
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,253,Miguel Almeida,3,1,4
Day 1,Dept L Set Up Assistant ,Set Up Assistant ,289,Rui Ferreira,5,1,1
Day 1,Dept L Viewing Assistant ,Viewing Assistant ,113,Elizabeth Adams,5,3,4
Day 1,Dept L Viewing Assistant ,Viewing Assistant ,134,Francisco Rodrigues,5,4,5
Day 1,Dept L Viewing Assistant ,Viewing Assistant ,139,Gabriel Santos,5,4,4
Day 1,Dept L Viewing Assistant ,Viewing Assistant ,185,Lara Silva,5,3,3
Day 1,Dept L Viewing Assistant ,Viewing Assistant ,326,Vasco Santos,5,2,4
Day 1,Information Assistant ,Information Assistant ,50,Beatriz Sousa,5,5,2
Day 1,Information Assistant ,Information Assistant ,259,Nicholas Walker,5,4,4
Day 1,Information Assistant ,Information Assistant ,283,Rodrigo Ferreira,5,1,1
Day 1,Information Assistant ,Information Assistant ,284,Rodrigo Mendes,5,3,1
Day 1,Information Assistant ,Information Assistant ,322,Tomás Rodrigues,5,1,2
Day 1,Information Assistant (Hall 3B) ,Information Assistant ,152,Harper Johnson,5,2,2
Day 1,Information Assistant (Hall 3B) ,Information Assistant ,174,Jonathan Scott,5,5,0
Day 1,Information Assistant (Hall 3B) ,Information Assistant ,188,Leah Johnson,5,5,3
Day 1,Information Assistant (Hall 3B) ,Information Assistant ,202,Lucas Green,5,3,2
Day 1,Information Assistant (Hall 3B) ,Information Assistant ,213,Madison Allen,4,3,0
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,78,Catarina Oliveira,4,4,1
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,91,David Mitchell,5,0,3
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,111,Eli Wright,4,2,3
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,125,Francisca Castro,5,0,5
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,154,Henrique Pereira,5,4,0
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,173,Jonathan King,4,2,3
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,226,Maria Sousa,5,2,3
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,266,Pedro Matos,5,0,5
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,293,Samuel Davis,4,1,1
Day 1,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,317,Tiago Sousa Cruz,3,5,3
Day 1,Operations & Administration Packer ,Operations & Administration Packer ,5,Afonso Costa,5,4,1
Day 1,Operations & Administration Packer ,Operations & Administration Packer ,13,Ana Beatriz Ferreira,5,3,2
Day 1,Operations & Administration Packer ,Operations & Administration Packer ,201,Lucas Carvalho,5,0,0
Day 1,Operations & Administration Packer ,Operations & Administration Packer ,220,Maria Almeida,5,1,0
Day 1,Site Assistant ,Site Assistant ,1,Abigail Perez,5,3,4
Day 1,Site Assistant ,Site Assistant ,37,Aubrey Davis,3,4,4
Day 1,Site Assistant ,Site Assistant ,114,Ellie Turner,5,0,4
Day 1,Site Assistant ,Site Assistant ,128,Francisca Oliveira,5,4,1
Day 1,Site Assistant ,Site Assistant ,172,João Silva,5,2,3
Day 1,Site Assistant ,Site Assistant ,183,Justin Taylor,4,1,1
Day 1,Site Assistant ,Site Assistant ,189,Leonor Almeida,5,1,3
Day 1,Site Assistant ,Site Assistant ,230,Mariana Dias,4,4,3
Day 1,Site Assistant ,Site Assistant ,299,Savannah Hall,5,1,4
Day 1,Site Assistant ,Site Assistant ,330,Zoey Nelson,4,5,4
Day 1,Waiting List ,Waiting List,27,André Luís Silva,0,1,3
Day 1,Waiting List ,Waiting List,32,António Costa,0,0,1
Day 1,Waiting List ,Waiting List,74,Carolina Pires,0,2,5
Day 1,Waiting List ,Waiting List,75,Carolina Rodrigues,0,3,0
Day 1,Waiting List ,Waiting List,87,Daniel Wright,0,0,3
Day 1,Waiting List ,Waiting List,90,David Lopes,0,3,2
Day 1,Waiting List ,Waiting List,121,Filipa Carvalho,0,3,2
Day 1,Waiting List ,Waiting List,148,Guilherme Silva,0,3,2
Day 1,Waiting List ,Waiting List,155,Inês Almeida,0,1,4
Day 1,Waiting List ,Waiting List,166,Jacob Campbell,0,3,3
Day 1,Waiting List ,Waiting List,167,James Lee,0,1,2
Day 1,Waiting List ,Waiting List,179,Joseph Wright,0,2,1
Day 1,Waiting List ,Waiting List,182,Julia Martinez,0,0,2
Day 1,Waiting List ,Waiting List,199,Lucas Alves,0,2,0
Day 1,Waiting List ,Waiting List,214,Mafalda Cruz,0,3,0
Day 1,Waiting List ,Waiting List,265,Pedro Dias,0,3,1
Day 1,Waiting List ,Waiting List,269,Pedro Sousa,0,3,1
Day 1,Waiting List ,Waiting List,271,Peyton Turner,0,3,5
Day 1,Waiting List ,Waiting List,294,Samuel Ferreira,0,4,2
Day 1,Waiting List ,Waiting List,328,William Hernandez,0,3,4
 Day 2 ,Client Services Assistant ,Client Services Assistant ,30,Andréia Santos,5,0,3
 Day 2 ,Client Services Assistant ,Client Services Assistant ,130,Francisco Fernandes,5,4,0
 Day 2 ,Client Services Assistant ,Client Services Assistant ,158,Inês Ribeiro,5,1,5
 Day 2 ,Client Services Assistant ,Client Services Assistant ,186,Laura Santos,5,4,2
 Day 2 ,Client Services Assistant ,Client Services Assistant ,210,Madalena Oliveira,5,2,1
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,35,Arianna Hernandez,4,2,1
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,43,Bárbara Silva,5,4,4
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,70,Carolina Fernandes,5,4,3
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,101,Diogo Oliveira,5,5,3
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,135,Francisco Santos,4,3,2
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,136,Francisco Sousa,5,4,4
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,173,Jonathan King,5,2,3
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,180,Joshua Hill,4,2,3
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,205,Luís Ferreira,5,5,4
 Day 2 ,Cloak Room Assistant ,Cloak Room Assistant ,252,Michael Lewis,5,2,3
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,46,Beatriz Ferreira,5,1,3
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,105,Duarte Martins,4,1,1
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,122,Filipa Rodrigues,4,0,2
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,126,Francisca Ferreira,5,1,3
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,142,Gonçalo Castro,4,1,2
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,218,Margarida Oliveira,5,2,4
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,239,Mariana Sousa,5,2,3
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,254,Miguel Costa,4,4,0
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,296,Sara Ribeiro,4,0,4
 Day 2 ,Dept B Packing Assistant ,Packing Assistant ,304,Simão Rodrigues,5,4,1
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,8,Alexander Thompson,3,5,2
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,69,Carolina Costa,4,3,1
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,84,Christopher Baker,4,1,2
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,112,Elijah Campbell,3,1,5
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,157,Inês Pinto,5,1,2
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,161,Isabella Jackson,4,1,1
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,275,Rafaela Alves,4,2,2
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,286,Rodrigo Oliveira,4,4,3
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,309,Sofia Turner,5,1,0
 Day 2 ,Dept B Viewing Assistant ,Viewing Assistant ,324,Tomé Martins,4,5,1
 Day 2 ,Dept C Assistant ,Assistant ,94,David Wilson,5,5,3
 Day 2 ,Dept C Assistant ,Assistant ,234,Mariana Rocha,5,2,1
 Day 2 ,Dept C Assistant ,Assistant ,246,Matilde Martins,5,4,3
 Day 2 ,Dept C Assistant ,Assistant ,297,Sara Silva,5,2,1
 Day 2 ,Dept C Assistant ,Assistant ,312,Tiago Cunha,5,3,2
 Day 2 ,Dept D Assistant ,Assistant ,19,Ana Nunes,4,1,2
 Day 2 ,Dept D Assistant ,Assistant ,108,Dylan Hernandez,4,1,0
 Day 2 ,Dept D Assistant ,Assistant ,110,Eduardo Sousa,5,1,3
 Day 2 ,Dept D Assistant ,Assistant ,192,Leonor Pereira,3,2,2
 Day 2 ,Dept D Assistant ,Assistant ,222,Maria Ferreira,4,3,4
 Day 2 ,Dept D Assistant ,Assistant ,261,Nuno Almeida,4,4,2
 Day 2 ,Dept D Assistant ,Assistant ,272,Rafael Fernandes,4,4,3
 Day 2 ,Dept D Assistant ,Assistant ,282,Rodrigo Castro,4,1,3
 Day 2 ,Dept D Assistant ,Assistant ,303,Simão Fernandes,4,3,4
 Day 2 ,Dept D Assistant ,Assistant ,314,Tiago Gonçalves,4,3,3
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,14,Ana Carvalho,5,2,1
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,34,Aria Wright,4,1,4
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,62,Bruno Rodrigues,4,2,3
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,68,Carolina Carvalho,4,2,4
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,85,Christopher Perez,3,4,2
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,160,Isabela Costa,5,1,3
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,175,José Carlos Oliveira,4,2,4
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,268,Pedro Ribeiro,4,1,2
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,307,Sofia Santos,5,3,1
 Day 2 ,Dept F Viewing Assistant ,Viewing Assistant ,318,Tomás Carvalho,3,4,5
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,5,Afonso Costa,4,4,1
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,15,Ana Costa,5,2,2
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,24,Ana Sousa,5,2,1
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,51,Benjamin Nelson,5,2,1
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,159,Isaac Jackson,5,3,1
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,187,Laura Vieira,4,4,3
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,244,Matilde Gomes,3,2,3
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,257,Natalie Baker,3,5,4
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,284,Rodrigo Mendes,5,3,1
 Day 2 ,Dept G Viewing Assistant ,Viewing Assistant ,298,Sarah Garcia,5,1,2
 Day 2 ,Dept H Assistant ,Assistant ,83,Christian Collins,5,1,1
 Day 2 ,Dept H Assistant ,Assistant ,96,Diana Fernandes,5,3,3
 Day 2 ,Dept H Assistant ,Assistant ,117,Ethan Flores,5,2,1
 Day 2 ,Dept H Assistant ,Assistant ,219,Margarida Sousa,5,2,4
 Day 2 ,Dept H Assistant ,Assistant ,279,Rita Carvalho,5,5,3
 Day 2 ,Dept I Viewing Assistant ,Viewing Assistant ,102,Diogo Pereira,4,5,3
 Day 2 ,Dept I Viewing Assistant ,Viewing Assistant ,177,José Rodrigues,5,1,4
 Day 2 ,Dept I Viewing Assistant ,Viewing Assistant ,255,Miguel Lopes,5,3,2
 Day 2 ,Dept I Viewing Assistant ,Viewing Assistant ,262,Nuno Santos,5,3,2
 Day 2 ,Dept I Viewing Assistant ,Viewing Assistant ,326,Vasco Santos,5,2,4
 Day 2 ,Dept K Packing Assistant ,Packing Assistant ,49,Beatriz Santos,5,5,2
 Day 2 ,Dept K Packing Assistant ,Packing Assistant ,53,Bernardo Barbosa,5,1,2
 Day 2 ,Dept K Packing Assistant ,Packing Assistant ,72,Carolina Lourenço,5,0,5
 Day 2 ,Dept K Packing Assistant ,Packing Assistant ,80,Charlotte Garcia,5,5,0
 Day 2 ,Dept K Packing Assistant ,Packing Assistant ,119,Eva Nelson,5,5,3
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,12,Amelia Taylor,5,0,0
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,107,Duarte Pinto,5,3,2
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,133,Francisco Pinto,5,4,4
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,176,José Carvalho,4,2,4
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,184,Lara Costa,5,1,4
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,197,Lily Taylor,5,2,5
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,281,Rita Matos,5,1,3
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,289,Rui Ferreira,5,1,1
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,292,Samantha Rodriguez,5,1,2
 Day 2 ,Dept K Set Up Assistant ,Set Up Assistant ,310,Sophia Anderson,3,3,2
 Day 2 ,Dept K Viewing Assistant ,Viewing Assistant ,99,Diogo Costa,4,4,5
 Day 2 ,Dept K Viewing Assistant ,Viewing Assistant ,123,Filipe Carvalho,5,5,0
 Day 2 ,Dept K Viewing Assistant ,Viewing Assistant ,185,Lara Silva,5,3,3
 Day 2 ,Dept K Viewing Assistant ,Viewing Assistant ,232,Mariana Lopes,4,4,4
 Day 2 ,Dept K Viewing Assistant ,Viewing Assistant ,258,Nathan Price,4,4,5
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,9,Alexandra Campbell,4,5,0
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,10,Alexandre Martins,4,1,3
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,17,Ana Gonçalves,4,1,1
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,73,Carolina Nunes,5,5,3
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,86,Colton Wright,5,3,5
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,138,Gabriel Ferreira,4,2,4
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,143,Gonçalo Ferreira,3,3,0
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,238,Mariana Silva,5,5,1
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,240,Mariana Vaz,4,1,5
 Day 2 ,Dept L Packing Assistant ,Packing Assistant ,313,Tiago Fernandes,4,2,4
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,6,Afonso Pereira,4,4,2
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,7,Alexander Anderson,5,0,5
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,11,Alexandre Silva,4,3,5
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,64,Caleb Turner,5,1,4
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,76,Carolina Teixeira,5,0,4
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,95,Diana Costa,5,2,3
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,129,Francisco Alves,5,2,1
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,170,Joana Silva,4,0,4
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,171,João Pedro Almeida,4,3,1
 Day 2 ,Dept L Set Up Assistant ,Set Up Assistant ,250,Mia Brown,4,1,4
 Day 2 ,Dept L Viewing Assistant ,Viewing Assistant ,92,David Pereira,5,1,5
 Day 2 ,Dept L Viewing Assistant ,Viewing Assistant ,113,Elizabeth Adams,5,3,4
 Day 2 ,Dept L Viewing Assistant ,Viewing Assistant ,139,Gabriel Santos,5,4,4
 Day 2 ,Dept L Viewing Assistant ,Viewing Assistant ,196,Lídia Sousa,5,4,2
 Day 2 ,Dept L Viewing Assistant ,Viewing Assistant ,321,Tomás Oliveira,4,4,5
 Day 2 ,Information Assistant ,Information Assistant ,88,Daniela Ribeiro,5,1,5
 Day 2 ,Information Assistant ,Information Assistant ,152,Harper Johnson,5,2,2
 Day 2 ,Information Assistant ,Information Assistant ,188,Leah Johnson,5,5,3
 Day 2 ,Information Assistant ,Information Assistant ,213,Madison Allen,4,3,0
 Day 2 ,Information Assistant ,Information Assistant ,311,Tiago Costa,5,2,0
 Day 2 ,Information Assistant (Hall 3B) ,Information Assistant ,20,Ana Paula Ferreira,5,1,3
 Day 2 ,Information Assistant (Hall 3B) ,Information Assistant ,50,Beatriz Sousa,5,5,2
 Day 2 ,Information Assistant (Hall 3B) ,Information Assistant ,79,Catarina Silva,5,2,4
 Day 2 ,Information Assistant (Hall 3B) ,Information Assistant ,174,Jonathan Scott,5,5,0
 Day 2 ,Information Assistant (Hall 3B) ,Information Assistant ,259,Nicholas Walker,5,4,4
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,91,David Mitchell,5,0,3
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,111,Eli Wright,4,2,3
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,125,Francisca Castro,5,0,5
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,212,Madelyn Brown,5,2,0
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,226,Maria Sousa,5,2,3
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,230,Mariana Dias,4,4,3
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,233,Mariana Pereira,4,3,3
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,290,Ryan Parker,5,4,4
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,293,Samuel Davis,4,1,1
 Day 2 ,London Jewellery Viewing Assistant ,London Jewellery Viewing Assistant ,305,Sofia Nunes,4,5,2
